forecast_date,location,target,target_end_date,type,quantile,value
2021-04-05,US,1  day ahead inc hosp,2021-04-06,quantile,0.01,5442.475938439168
2021-04-05,US,1  day ahead inc hosp,2021-04-06,quantile,0.025,5601.29616696209
2021-04-05,US,1  day ahead inc hosp,2021-04-06,quantile,0.05,5740.648744644857
2021-04-05,US,1  day ahead inc hosp,2021-04-06,quantile,0.1,5904.522526979686
2021-04-05,US,1  day ahead inc hosp,2021-04-06,quantile,0.15,6017.05252190391
2021-04-05,US,1  day ahead inc hosp,2021-04-06,quantile,0.2,6107.628810311521
2021-04-05,US,1  day ahead inc hosp,2021-04-06,quantile,0.25,6186.146836720902
2021-04-05,US,1  day ahead inc hosp,2021-04-06,quantile,0.3,6257.301443835429
2021-04-05,US,1  day ahead inc hosp,2021-04-06,quantile,0.35,6323.783088385305
2021-04-05,US,1  day ahead inc hosp,2021-04-06,quantile,0.4,6387.356173225207
2021-04-05,US,1  day ahead inc hosp,2021-04-06,quantile,0.45,6449.3189213897185
2021-04-05,US,1  day ahead inc hosp,2021-04-06,quantile,0.5,6510.738352149733
2021-04-05,US,1  day ahead inc hosp,2021-04-06,quantile,0.55,6572.595433223349
2021-04-05,US,1  day ahead inc hosp,2021-04-06,quantile,0.6,6635.899453261067
2021-04-05,US,1  day ahead inc hosp,2021-04-06,quantile,0.65,6701.808630557404
2021-04-05,US,1  day ahead inc hosp,2021-04-06,quantile,0.7,6771.797045474526
2021-04-05,US,1  day ahead inc hosp,2021-04-06,quantile,0.75,6847.939017487769
2021-04-05,US,1  day ahead inc hosp,2021-04-06,quantile,0.8,6933.480365379426
2021-04-05,US,1  day ahead inc hosp,2021-04-06,quantile,0.85,7034.197949756886
2021-04-05,US,1  day ahead inc hosp,2021-04-06,quantile,0.9,7162.477898876336
2021-04-05,US,1  day ahead inc hosp,2021-04-06,quantile,0.95,7355.825564958869
2021-04-05,US,1  day ahead inc hosp,2021-04-06,quantile,0.975,7526.672842063391
2021-04-05,US,1  day ahead inc hosp,2021-04-06,quantile,0.99,7729.0423613324965
2021-04-05,US,2  day ahead inc hosp,2021-04-07,quantile,0.01,4824.959733230671
2021-04-05,US,2  day ahead inc hosp,2021-04-07,quantile,0.025,5019.861923426848
2021-04-05,US,2  day ahead inc hosp,2021-04-07,quantile,0.05,5192.160284360994
2021-04-05,US,2  day ahead inc hosp,2021-04-07,quantile,0.1,5396.272033628638
2021-04-05,US,2  day ahead inc hosp,2021-04-07,quantile,0.15,5537.3451627434115
2021-04-05,US,2  day ahead inc hosp,2021-04-07,quantile,0.2,5651.423874903643
2021-04-05,US,2  day ahead inc hosp,2021-04-07,quantile,0.25,5750.690167944357
2021-04-05,US,2  day ahead inc hosp,2021-04-07,quantile,0.3,5840.943653562686
2021-04-05,US,2  day ahead inc hosp,2021-04-07,quantile,0.35,5925.52140340151
2021-04-05,US,2  day ahead inc hosp,2021-04-07,quantile,0.4,6006.623576001866
2021-04-05,US,2  day ahead inc hosp,2021-04-07,quantile,0.45,6085.880507778085
2021-04-05,US,2  day ahead inc hosp,2021-04-07,quantile,0.5,6164.644097257458
2021-04-05,US,2  day ahead inc hosp,2021-04-07,quantile,0.55,6244.169744393045
2021-04-05,US,2  day ahead inc hosp,2021-04-07,quantile,0.6,6325.762170335683
2021-04-05,US,2  day ahead inc hosp,2021-04-07,quantile,0.65,6410.932098565109
2021-04-05,US,2  day ahead inc hosp,2021-04-07,quantile,0.7,6501.616128155085
2021-04-05,US,2  day ahead inc hosp,2021-04-07,quantile,0.75,6600.554159675047
2021-04-05,US,2  day ahead inc hosp,2021-04-07,quantile,0.8,6712.050492011279
2021-04-05,US,2  day ahead inc hosp,2021-04-07,quantile,0.85,6843.7892611088055
2021-04-05,US,2  day ahead inc hosp,2021-04-07,quantile,0.9,7012.290637214576
2021-04-05,US,2  day ahead inc hosp,2021-04-07,quantile,0.95,7267.734748245657
2021-04-05,US,2  day ahead inc hosp,2021-04-07,quantile,0.975,7494.890946190428
2021-04-05,US,2  day ahead inc hosp,2021-04-07,quantile,0.99,7765.6579725570455
2021-04-05,US,3  day ahead inc hosp,2021-04-08,quantile,0.01,4561.78082862774
2021-04-05,US,3  day ahead inc hosp,2021-04-08,quantile,0.025,4768.633375147746
2021-04-05,US,3  day ahead inc hosp,2021-04-08,quantile,0.05,4952.096378256721
2021-04-05,US,3  day ahead inc hosp,2021-04-08,quantile,0.1,5170.131455709597
2021-04-05,US,3  day ahead inc hosp,2021-04-08,quantile,0.15,5321.252836199736
2021-04-05,US,3  day ahead inc hosp,2021-04-08,quantile,0.2,5443.702741599274
2021-04-05,US,3  day ahead inc hosp,2021-04-08,quantile,0.25,5550.427575590166
2021-04-05,US,3  day ahead inc hosp,2021-04-08,quantile,0.3,5647.600229922465
2021-04-05,US,3  day ahead inc hosp,2021-04-08,quantile,0.35,5738.778947327736
2021-04-05,US,3  day ahead inc hosp,2021-04-08,quantile,0.4,5826.3152573247435
2021-04-05,US,3  day ahead inc hosp,2021-04-08,quantile,0.45,5911.957108337416
2021-04-05,US,3  day ahead inc hosp,2021-04-08,quantile,0.5,5997.159546355674
2021-04-05,US,3  day ahead inc hosp,2021-04-08,quantile,0.55,6083.279628791274
2021-04-05,US,3  day ahead inc hosp,2021-04-08,quantile,0.6,6171.733808664631
2021-04-05,US,3  day ahead inc hosp,2021-04-08,quantile,0.65,6264.168399274494
2021-04-05,US,3  day ahead inc hosp,2021-04-08,quantile,0.7,6362.700172631088
2021-04-05,US,3  day ahead inc hosp,2021-04-08,quantile,0.75,6470.330660611636
2021-04-05,US,3  day ahead inc hosp,2021-04-08,quantile,0.8,6591.782936952923
2021-04-05,US,3  day ahead inc hosp,2021-04-08,quantile,0.85,6735.499465211154
2021-04-05,US,3  day ahead inc hosp,2021-04-08,quantile,0.9,6919.651331716303
2021-04-05,US,3  day ahead inc hosp,2021-04-08,quantile,0.95,7199.506047638369
2021-04-05,US,3  day ahead inc hosp,2021-04-08,quantile,0.975,7449.038175670682
2021-04-05,US,3  day ahead inc hosp,2021-04-08,quantile,0.99,7747.2664248750825
2021-04-05,US,4  day ahead inc hosp,2021-04-09,quantile,0.01,4374.025928463229
2021-04-05,US,4  day ahead inc hosp,2021-04-09,quantile,0.025,4589.58399949122
2021-04-05,US,4  day ahead inc hosp,2021-04-09,quantile,0.05,4781.264426913545
2021-04-05,US,4  day ahead inc hosp,2021-04-09,quantile,0.1,5009.642291885201
2021-04-05,US,4  day ahead inc hosp,2021-04-09,quantile,0.15,5168.284071657653
2021-04-05,US,4  day ahead inc hosp,2021-04-09,quantile,0.2,5297.030907211304
2021-04-05,US,4  day ahead inc hosp,2021-04-09,quantile,0.25,5409.38829905213
2021-04-05,US,4  day ahead inc hosp,2021-04-09,quantile,0.3,5511.803491083708
2021-04-05,US,4  day ahead inc hosp,2021-04-09,quantile,0.35,5607.998194527879
2021-04-05,US,4  day ahead inc hosp,2021-04-09,quantile,0.4,5700.436605669732
2021-04-05,US,4  day ahead inc hosp,2021-04-09,quantile,0.45,5790.954967957673
2021-04-05,US,4  day ahead inc hosp,2021-04-09,quantile,0.5,5881.086514643213
2021-04-05,US,4  day ahead inc hosp,2021-04-09,quantile,0.55,5972.266108571951
2021-04-05,US,4  day ahead inc hosp,2021-04-09,quantile,0.6,6065.99645324183
2021-04-05,US,4  day ahead inc hosp,2021-04-09,quantile,0.65,6164.029244722589
2021-04-05,US,4  day ahead inc hosp,2021-04-09,quantile,0.7,6268.621993733603
2021-04-05,US,4  day ahead inc hosp,2021-04-09,quantile,0.75,6382.98132986027
2021-04-05,US,4  day ahead inc hosp,2021-04-09,quantile,0.8,6512.159450363764
2021-04-05,US,4  day ahead inc hosp,2021-04-09,quantile,0.85,6665.19597524215
2021-04-05,US,4  day ahead inc hosp,2021-04-09,quantile,0.9,6861.564329829842
2021-04-05,US,4  day ahead inc hosp,2021-04-09,quantile,0.95,7160.553551749532
2021-04-05,US,4  day ahead inc hosp,2021-04-09,quantile,0.975,7427.702837548557
2021-04-05,US,4  day ahead inc hosp,2021-04-09,quantile,0.99,7747.642986976738
2021-04-05,US,5  day ahead inc hosp,2021-04-10,quantile,0.01,3873.388333439587
2021-04-05,US,5  day ahead inc hosp,2021-04-10,quantile,0.025,4085.710024073825
2021-04-05,US,5  day ahead inc hosp,2021-04-10,quantile,0.05,4275.198007740735
2021-04-05,US,5  day ahead inc hosp,2021-04-10,quantile,0.1,4501.761713093669
2021-04-05,US,5  day ahead inc hosp,2021-04-10,quantile,0.15,4659.630447126433
2021-04-05,US,5  day ahead inc hosp,2021-04-10,quantile,0.2,4788.031767424881
2021-04-05,US,5  day ahead inc hosp,2021-04-10,quantile,0.25,4900.287769583555
2021-04-05,US,5  day ahead inc hosp,2021-04-10,quantile,0.3,5002.768932319563
2021-04-05,US,5  day ahead inc hosp,2021-04-10,quantile,0.35,5099.1600749884865
2021-04-05,US,5  day ahead inc hosp,2021-04-10,quantile,0.4,5191.907445686559
2021-04-05,US,5  day ahead inc hosp,2021-04-10,quantile,0.45,5282.840272091843
2021-04-05,US,5  day ahead inc hosp,2021-04-10,quantile,0.5,5373.492479305248
2021-04-05,US,5  day ahead inc hosp,2021-04-10,quantile,0.55,5465.306388526335
2021-04-05,US,5  day ahead inc hosp,2021-04-10,quantile,0.6,5559.799526174587
2021-04-05,US,5  day ahead inc hosp,2021-04-10,quantile,0.65,5658.74799673476
2021-04-05,US,5  day ahead inc hosp,2021-04-10,quantile,0.7,5764.448032042063
2021-04-05,US,5  day ahead inc hosp,2021-04-10,quantile,0.75,5880.16892923284
2021-04-05,US,5  day ahead inc hosp,2021-04-10,quantile,0.8,6011.070487085724
2021-04-05,US,5  day ahead inc hosp,2021-04-10,quantile,0.85,6166.397164157892
2021-04-05,US,5  day ahead inc hosp,2021-04-10,quantile,0.9,6366.087477226744
2021-04-05,US,5  day ahead inc hosp,2021-04-10,quantile,0.95,6670.93126017398
2021-04-05,US,5  day ahead inc hosp,2021-04-10,quantile,0.975,6944.090505591301
2021-04-05,US,5  day ahead inc hosp,2021-04-10,quantile,0.99,7272.149574010419
2021-04-05,US,6  day ahead inc hosp,2021-04-11,quantile,0.01,3677.8508100382983
2021-04-05,US,6  day ahead inc hosp,2021-04-11,quantile,0.025,3888.883809941161
2021-04-05,US,6  day ahead inc hosp,2021-04-11,quantile,0.05,4077.5366527646243
2021-04-05,US,6  day ahead inc hosp,2021-04-11,quantile,0.1,4303.468487033894
2021-04-05,US,6  day ahead inc hosp,2021-04-11,quantile,0.15,4461.120671414268
2021-04-05,US,6  day ahead inc hosp,2021-04-11,quantile,0.2,4589.475251642764
2021-04-05,US,6  day ahead inc hosp,2021-04-11,quantile,0.25,4701.782245946789
